french_name;latin_name;english_name;INCI_name;IS;hardness;INS;lauric;palmitic;stearic;ricinoleic;oleic;Linoleic;linolenic;NaOH_SAP;KOH_SAP;bubbly;creamy;iodine;myristic;cleansing;condition;vitesse_tracage
Huile d'Abyssinie;Crambe Abyssinica;Abyssinian Oil;CRAMBE ABYSSINICA SEED OIL;167.5;6;70;0;3;2;0;18;11;4;0.12;0.168;0;80;98;0;0;94;
Beurre d'amande;Prunus Dulcis;Almond Butter;HYDROGENATED SWEET ALMOND Oil;188;25;118;0;9;15;0;58;16;0;0.134;0.188;1;24;70;1;1;74;
Huile d'Amande douce ;Prunus Amygdalus Dulcis Oil ;Almond Oil sweet ;PRUNUS AMYGDALUS DULCIS OIL;192;7;97;0;7;0;0;71;18;0;0.139;0.195;0;7;99;0;0;89;
Beurre d'Aloe;Aloe Barbadensis;Aloe Butter;ALOE BARBADENSIS;250;74;241;45;8;3;0;7;2;0;0.171;0.24;63;11;9;18;63;9;
Huile d'Andiroba;Carapa Guianensis;Andiroba Oil;CARAPA GUINENSIS SEED OIL;196;36;120;0;28;8;0;51;9;0;0.134;0.188;0;36;68;0;0;60;
Huile de Noyaux d'Abricot ;Prunus Armeniaca Kernel Oil;Apricot Kernal Oil;PRUNUS ARMENIACA KERNEL OIL;189;6;91;0;6;0;0;66;27;0;0.139;0.195;0;6;100;0;0;93;
Huile d'Argan;Argania Spinosa;Argan Oil ;	ARGANIA SPINOSA KERNEL OIL;191;15;95;0;14;0;0;46;34;95;0.136;0.191;1;14;95;1;1;81;
Beurre d'Avocat;Persea Gratissima;Avocado Butter;PERSEA GRATISSIMA BUTTER;188;31;120;0;21;10;0;53;6;2;0.133;0.187;0;31;67;0;0;61;
Huile d'Avocat ;Persea Gratissima;Avocado Oil ;	PERSEA GRATISSIMA OIL;187;22;99;0;20;2;0;58;12;0;0.133;0.186;0;22;86;0;0;70;
Huile de Babassu;Orbignya Oleifera;Babassu Oil;ORBIGNYA OLEIFERA SEED OIL;246;85;230;50;11;4;0;10;0;0;0.175;0.245;70;15;15;20;70;10;
