french_name;latin_name;english_name;INCI_name;IS;hardness;INS;lauric;palmitic;stearic;ricinoleic;oleic;Linoleic;linolenic;NaOH_SAP;KOH_SAP;bubbly;creamy;iodine;mystiric;cleansing;condition;vitesse_tracage
Abeille, cire;Cera Alba;Beeswax;CERA ALBA;94;90;89;0;0;0;0;0;0;0;0.067;0.094;0;50;5;0;0;50;0
Abricot, huile ;Prunus Armeniaca Kernel Oil;Apricot Kernal Oil;PRUNUS ARMENIACA KERNEL OIL;191;6;88;0;6;0;0;66;27;0;0.139;0.191;0;6;103;0;0;93;3.095232
Abyssinie, huile;Crambe Abyssinica;Abyssinian Oil;CRAMBE ABYSSINICA SEED OIL;168;6;70;0;3;2;0;18;11;4;0.12;0.168;0;80;98;0;0;94;1.1243904
Acice Palmitique;Palmitic Acid;Palmitic Acid;PALMITIC ACID;208;98;208;0;98;0;0;0;0;0;0.153;0.215;0;98;0;0;0;0;4.9523712
Acide lauric;Lauric Acid;Lauric Acid;LAURIC ACID;280;100;280;99;0;0;0;0;0;0;0.2;0.28;100;0;0;1;100;0;6.3125888
Acide Myristique ;Myristic Acid;Myristic Acid;MYRISTIC ACID;232;99;232;0;0;0;0;0;0;0;0.176;0.232;99;0;0;99;99;0;5.8367232
Acide Oléique;Acid Oleic;Oleic Acid;OLEIC ACID;190;0;104;0;0;0;0;99;0;0;0.144;0.19;0;0;86;0;0;99;3.3352704
Acide Stéarique ;Stearic Acid ;Stearic Acid;STEARIC ACID;188;99;188;0;0;99;0;0;0;0;0.141;0.198;0;99;0;0;0;0;4.169088
Aloe, beurre;Aloe Barbadensis;Aloe Butter;ALOE BARBADENSIS;240;74;241;45;8;3;0;7;2;0;0.171;0.24;63;11;9;18;63;9;4.7123328
Amande douce, huile;Prunus Amygdalus Dulcis Oil ;Almond Oil sweet ;PRUNUS AMYGDALUS DULCIS OIL;191;7;99;0;7;0;0;71;18;0;0.139;0.191;0;7;92;0;0;89;3.1247104
Andiroba, huile;Carapa Guianensis;Andiroba Oil;CARAPA GUINENSIS SEED OIL;195;36;133;0;28;8;0;51;9;0;0.134;0.195;0;36;62;0;0;60;3.6595328
Arachide/ cacahuète, huile ;Arachis Hypogaea;Peanut Oil;ARACHIS HYPOGAEA OIL;190;11;98;0;8;3;0;56;26;0;0.137;0.19;0;11;92;0;0;82;2.9646848
